Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
-1,Document,,,,,,,,,Draft,MAIR project diagram,
-1,Page,,,,,,,,,,Page 1,
1,Process,Flowchart Shapes/Containers,2,,,,,,,,1. Welcome,
2,Decision,Flowchart Shapes/Containers,2,,,,,,,,2. Area known?,
3,Process,Flowchart Shapes/Containers,2,,,,,,,,3.Ask area,
4,Decision,Flowchart Shapes/Containers,2,,,,,,,,4. Food type known?,
5,Process,Flowchart Shapes/Containers,2,,,,,,,,5. Ask food type,
6,Decision,Flowchart Shapes/Containers,2,,,,,,,,6. Price range known?,
7,Process,Flowchart Shapes/Containers,2,,,,,,,,7. Ask price range,
8,Decision,Flowchart Shapes/Containers,2,,,,,,,,8. Check if such restarauntâ€¨exists,
17,Decision,Flowchart Shapes/Containers,2,,,,,,,,17. Check if  address exists,
23,Process,Flowchart Shapes/Containers,2,,,,,,,,23. Exit,
22,Process,Flowchart Shapes/Containers,2,,,,,,,,22. Apologise for inconvenience,
19,Process,Flowchart Shapes/Containers,2,,,,,,,,19. Output  phone number,
15,Decision,Flowchart Shapes/Containers,2,,,,,,,,15. Classify request,
-1,Text,Standard,2,,,,,,,,"Should we incorporate some sort of confirmation anywhere in the flow? 
Different request from user: Food. Check if that happens more than maybe incorporate, otherwise not relevant: times user request food: 3
Suppose you get stuck in the loop and you end up in the recommendation part where you don't have the price range, just the area and the type of food, is the system then able to to recommend a restaurant?
Should we also make our system clever in the sense that when we get a invalid answer a couple of times  the system asks: so any type of area/food/price range then? --> Loop should also become rectangular?
How to handle don't care of doesn't matter answers? Because in some dialogues the system asks the question again and in other it just gives a recommendation
Is it necessary to incorporate validation (valid/invalid answers)? 
When no restaurant is found and user expresses no other preference but says ""No thnanks, goodbye"" we should have a transition from no recommendation to goodbye.  --> Add manually code and maybe also add in the diagram 
Rectangular ""Inform user no such restaurant exists""  needs to be numbered. ",
9,Process,Flowchart Shapes/Containers,2,,,,,,,,9.Inform user that there is no restaurant,
18,Decision,Flowchart Shapes/Containers,2,,,,,,,,18. Check if postcode  exists,
16,Decision,Flowchart Shapes/Containers,2,,,,,,,,16. Check if  number exists,
20,Process,Flowchart Shapes/Containers,2,,,,,,,,20. Output address,
21,Process,Flowchart Shapes/Containers,2,,,,,,,,21. Output postcode,
14,Process,Flowchart Shapes/Containers,2,,,,,,,,14 Give recommendation,
10,Process,Flowchart Shapes/Containers,2,,,,,,,,10.Ask for additional requirements,
12,Decision,Flowchart Shapes/Containers,2,,,,,,,,12. Check if such restaraunt exists,
11,Decision,Flowchart Shapes/Containers,2,,,,,,,,11.valid preferences are expressed?,
13,Process,Flowchart Shapes/Containers,2,,,,,,,,13.Inform user that there is no restaurant,
27,Line,,2,,,2,4,None,Arrow,,Yes,
28,Line,,2,,,2,3,None,Arrow,,No,
29,Line,,2,,,3,4,None,Arrow,,,#if valid:inform,
30,Line,,2,,,4,5,None,Arrow,,No,
31,Line,,2,,,4,6,None,Arrow,,Yes,
32,Line,,2,,,3,2,None,Arrow,,,#invalid user response,
33,Line,,2,,,5,4,None,Arrow,,,#invalid user response,
34,Line,,2,,,6,8,None,Arrow,,Yes,
35,Line,,2,,,6,7,None,Arrow,,No,
36,Line,,2,,,1,2,None,Arrow,,,
37,Line,,2,,,17,22,None,Arrow,,No,
38,Line,,2,,,17,20,None,Arrow,,Yes,
39,Line,,2,,,19,14,None,Arrow,,,
40,Line,,2,,,22,14,None,Arrow,,,
41,Line,,2,,,14,23,None,Arrow,,thankyou,
42,Line,,2,,,8,10,None,Equilateral Arrow,,Yes,
43,Line,,2,,,5,6,None,Arrow,,,#if valid:inform,
44,Line,,2,,,7,6,None,Arrow,,,#invalid user response,
45,Line,,2,,,7,8,None,Arrow,,,#if valid:inform,
46,Line,,2,,,15,16,None,Equilateral Arrow,,phone,
47,Line,,2,,,15,17,None,Equilateral Arrow,,address,
48,Line,,2,,,15,18,None,Equilateral Arrow,,postcode,
49,Line,,2,,,14,15,None,Equilateral Arrow,,request,
50,Line,,2,,,16,19,None,Equilateral Arrow,,Yes,
51,Line,,2,,,16,22,None,Equilateral Arrow,,No,
52,Line,,2,,,8,9,None,Equilateral Arrow,,No,
53,Line,,2,,,18,21,None,Equilateral Arrow,,Yes,
54,Line,,2,,,18,22,None,Equilateral Arrow,,No,
55,Line,,2,,,20,14,None,Equilateral Arrow,,,
56,Line,,2,,,21,14,None,Equilateral Arrow,,,
57,Line,,2,,,9,3,None,Equilateral Arrow,,Clear preferences,
58,Line,,2,,,14,14,None,Equilateral Arrow,,reqalts,
59,Line,,2,,,10,11,None,Equilateral Arrow,,,
60,Line,,2,,,11,12,None,Equilateral Arrow,,Yes,
62,Line,,2,,,12,13,None,Equilateral Arrow,,No,
63,Line,,2,,,13,10,None,Equilateral Arrow,,clear the additional preferences,
64,Line,,2,,,11,14,None,Equilateral Arrow,,No,
65,Line,,2,,,12,14,None,Equilateral Arrow,,Yes,
66,Line,,2,,,14,23,None,Arrow,,negate,
67,Line,,2,,,14,23,None,Arrow,,bye,
